# Orbital parameters time-series from Laskar et al., 2004. Time-step = 1kyr
# eccentricity    	precession (°)   	obliquity (°)
1.530600000000000e-02	6.167147436454168e+03	2.235285975721832e+01
1.642200000000000e-02	6.186839251027681e+03	2.245135120220131e+01
1.757700000000000e-02	6.206574610393624e+03	2.256405200050354e+01
1.874500000000000e-02	6.225735121203712e+03	2.268735251801570e+01
1.986800000000000e-02	6.244932702383145e+03	2.281758582484893e+01
2.110800000000000e-02	6.263758835023995e+03	2.295165794890954e+01
2.223900000000000e-02	6.282589322144087e+03	2.308618843920626e+01
2.340800000000000e-02	6.301161233411238e+03	2.321796873208635e+01
2.461200000000000e-02	6.319558507142431e+03	2.334436322169221e+01
2.572300000000000e-02	6.337896537037610e+03	2.346262171060721e+01
2.689900000000000e-02	6.356171713462662e+03	2.356999400141473e+01
2.795900000000000e-02	6.374182183386361e+03	2.366441744605229e+01
2.910200000000000e-02	6.392273211176059e+03	2.374400128379596e+01
3.015400000000000e-02	6.410299666622244e+03	2.380679745814230e+01
3.114800000000000e-02	6.428192336423266e+03	2.385200382817812e+01
3.222000000000000e-02	6.446122191185194e+03	2.387881825299024e+01
3.319700000000000e-02	6.464056916088378e+03	2.388695425368110e+01
3.410700000000000e-02	6.481939920502757e+03	2.387664101336874e+01
3.511600000000000e-02	6.499830871430393e+03	2.384845148984831e+01
3.599200000000000e-02	6.517746574134781e+03	2.380324511981249e+01
3.690500000000000e-02	6.535703415208857e+03	2.374228241041057e+01
3.774900000000000e-02	6.553620836786630e+03	2.366705305190989e+01
3.860600000000000e-02	6.571557280563201e+03	2.357887484723926e+01
3.944400000000000e-02	6.589662517706216e+03	2.347963855712260e+01
4.021000000000000e-02	6.607568709311203e+03	2.337129223806336e+01
4.098200000000000e-02	6.625681681384454e+03	2.325572665078547e+01
4.173200000000000e-02	6.643721085676809e+03	2.313563469692605e+01
4.239300000000000e-02	6.661848725469616e+03	2.301359468656318e+01
4.303000000000000e-02	6.679994929094983e+03	2.289224222555448e+01
